Near_Miss_ID,Date,Refinery_Unit,Equipment_ID,Work_Type,Department,Near_Miss_Description,PPE_NonCompliance,Supervisor_Negligence,Maintenance_Delay_or_Issue,Repeated_Issue_Ignored,Previous_Similar_Reports,Immediate_Cause,Potential_Consequence,Risk_Level,Corrective_Action,Action_Status,High_Potential_Near_Miss,source_sheet
01_P-001,2025-10-16,Hydrogen Unit,P-305,Preventive Maintenance,Contractor,Worker entered process area without safety helmet,True,False,False,False,2,Equipment degradation,Lost-time injury,Medium,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-002,2025-08-27,Hydrogen Unit,E-207,Routine Operation,HSE,Worker entered process area without safety helmet,True,False,False,False,0,Unsafe condition,Lost-time injury,Low,Implement permanent corrective action,Overdue,0,01_PPE_NonCompliance
01_P-003,2024-08-13,Utilities,V-110,Hot Work,Mechanical Maintenance,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,1,Unsafe condition,Lost-time injury,Low,Increase supervisory monitoring,Closed,0,01_PPE_NonCompliance
01_P-004,2024-04-14,Maintenance Area,C-204,Routine Operation,Contractor,Contractor used damaged safety shoes,True,False,False,False,0,Deferred maintenance,Fire,Medium,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-005,2026-08-02,Sulfur Recovery Unit,CDU-LINE-14,Inspection,Contractor,Technician performed grinding without face shield,True,False,False,False,2,Unsafe act,Equipment damage,Medium,Stop work and enforce PPE,In Progress,0,01_PPE_NonCompliance
01_P-006,2026-03-02,Hydrotreating Unit,E-101,Work at Height,Mechanical Maintenance,Technician performed grinding without face shield,True,False,False,False,0,Inadequate supervision,Hydrocarbon release,Low,Complete overdue inspection,In Progress,0,01_PPE_NonCompliance
01_P-007,2025-11-17,Hydrogen Unit,P-305,Material Handling,Instrumentation,Technician performed grinding without face shield,True,False,False,False,2,Inadequate supervision,Equipment damage,Medium,Implement permanent corrective action,In Progress,0,01_PPE_NonCompliance
01_P-008,2025-12-02,Utilities,C-204,Preventive Maintenance,Mechanical Maintenance,Worker entered process area without safety helmet,True,False,False,False,0,Procedure not followed,Fire,Low,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-009,2024-08-05,Hydrotreating Unit,P-305,Inspection,Contractor,Contractor used damaged safety shoes,True,False,False,False,2,Procedure not followed,Lost-time injury,High,Escalate recurring issue to HSE and management,Closed,0,01_PPE_NonCompliance
01_P-010,2026-02-03,FCC,E-207,Material Handling,Operations,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,1,Corrective action not closed,Lost-time injury,Medium,Stop work and enforce PPE,Open,0,01_PPE_NonCompliance
01_P-011,2024-06-05,Utilities,CDU-LINE-14,Material Handling,HSE,Contractor used damaged safety shoes,True,False,False,False,2,Inadequate supervision,Hydrocarbon release,Low,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-012,2025-11-27,Hydrotreating Unit,V-215,Breakdown Maintenance,Instrumentation,Worker removed gloves during maintenance and continued work,True,False,False,False,1,Unsafe act,Minor injury,Medium,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-013,2025-05-27,Maintenance Area,C-102,Breakdown Maintenance,Electrical Maintenance,Worker removed gloves during maintenance and continued work,True,False,False,False,0,Corrective action not closed,Equipment damage,Medium,Repair/replace defective equipment,Open,0,01_PPE_NonCompliance
01_P-014,2025-09-05,Hydrotreating Unit,C-102,Routine Operation,Mechanical Maintenance,Worker selected unsuitable respiratory protection for task,True,False,False,False,0,Procedure not followed,Fire,Low,Stop work and enforce PPE,Open,0,01_PPE_NonCompliance
01_P-015,2026-01-19,Tank Farm,E-207,Breakdown Maintenance,Electrical Maintenance,Technician performed grinding without face shield,True,False,False,False,2,Procedure not followed,Lost-time injury,Medium,Increase supervisory monitoring,Overdue,0,01_PPE_NonCompliance
01_P-016,2024-08-04,Loading Bay,E-101,Preventive Maintenance,Mechanical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,1,Unsafe condition,Hydrocarbon release,Medium,Stop work and enforce PPE,Closed,0,01_PPE_NonCompliance
01_P-017,2024-01-22,CDU,C-102,Preventive Maintenance,Operations,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,0,Corrective action not closed,Minor injury,Low,Complete overdue inspection,Open,0,01_PPE_NonCompliance
01_P-018,2025-06-10,Loading Bay,P-305,Material Handling,Mechanical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,2,Corrective action not closed,Lost-time injury,High,Review permit and JSA,Overdue,0,01_PPE_NonCompliance
01_P-019,2024-07-13,Utilities,V-215,Material Handling,Contractor,Technician performed grinding without face shield,True,False,False,False,2,Unsafe act,Fire,High,Implement permanent corrective action,Open,0,01_PPE_NonCompliance
01_P-020,2024-03-03,Hydrogen Unit,E-207,Material Handling,Mechanical Maintenance,Worker entered noisy compressor area without hearing protection,True,False,False,False,0,Deferred maintenance,Lost-time injury,Medium,Repair/replace defective equipment,Closed,0,01_PPE_NonCompliance
